# doris-clickhouse-mass.doris.tsv — live Doris outputs for the 413-call mass scalar probe
# engine=Doris (FE doris-0.0.0/P-series pr62767-local, BE apache/doris:be-4.1.2)
# rendered=raw; strings raw UTF-8; NULL->NULL; errors-><ERR:first line ~60 chars> (kept)
# binary/invalid bytes -> \xNN; booleans un-normalized; ai_*/ML/geo/session errors expected & kept
# 6 binary-output fns (aes_encrypt,char,compress,sm4_encrypt,st_circle,st_point) rendered \xNN from hex()
st_numgeometries	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
st_numpoints	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
st_point	\x00\x01\xd2\x0a\x0c\xda\x69\xf0\xef\x3f\x03\x81\xc2\xb8\xd6\x4f\xa6\x3f\x11\x4e\x69\xc4\x47\x55\xa6\x3f	# adjusted: binary output rendered as \xNN (from hex())
st_polyfromtext	NULL
st_polygon	NULL
st_polygonfromtext	NULL
st_touches	NULL
st_x	NULL
st_y	NULL
substr	
substring_index	aBc
sub_replace	NULL
tan	-0.7470222972386603
tanh	0.9866142981514303
time	13:45:07
timestamp	2024-06-16 13:45:07
tokenize	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = t >
top_level_domain	
to_base64	YUJj
to_binary	NULL
to_bitmap	NULL
to_bitmap_with_check	NULL
to_date	2024-06-16
to_datev2	2024-06-16
to_days	739418
to_ipv4	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
to_ipv4_or_default	0.0.0.0
to_ipv4_or_null	NULL
to_ipv6	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
to_ipv6_or_default	::
to_ipv6_or_null	NULL
to_iso8601	2024-06-16T13:45:07.000000
to_monday	2024-06-10
to_quantile_state	NULL
to_seconds	63885764707
translate	aBc
trim	
trim_in	
truncate	2.5
ucase	ABC
uncompress	NULL
unhex	
unhex_null	NULL
unicode_normalize	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
uniform	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = T >
url_decode	aBc
url_encode	aBc
uuid_to_int	NULL
week	24
weekday	6
weekofyear	24
weeks_add	2024-07-21 13:45:07
weeks_sub	2024-05-12 13:45:07
week_ceil	2024-06-17 00:00:00
week_floor	2024-06-10 00:00:00
xor	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage =  >
xpath_string	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
xxhash_32	1032354407
xxhash_64	-4742896892862040694
year	2024
years_add	2029-06-16 13:45:07
years_sub	2019-06-16 13:45:07
yearweek	202424
year_ceil	2025-01-01 00:00:00
year_floor	2024-01-01 00:00:00
year_month	2024-06
year_of_week	2024
