Signature	Return Type	Function Type	Intermediate Type	Properties
min_by_if(VARCHAR,BOOLEAN,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,DATE,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,DATETIME,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,DECIMAL128,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,DECIMAL256,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,DECIMAL32,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,DECIMAL64,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,DOUBLE,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,FLOAT,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,INT,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,LARGEINT,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,SMALLINT,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,TINYINT,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARCHAR,VARCHAR,BOOLEAN)	VARCHAR	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,BIGINT,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,BOOLEAN,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,DATE,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,DATETIME,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,DECIMAL128,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,DECIMAL256,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,DECIMAL32,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,DECIMAL64,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,DOUBLE,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,FLOAT,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,INT,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,LARGEINT,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,SMALLINT,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,TINYINT,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_if(VARIANT,VARCHAR,BOOLEAN)	VARIANT	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_merge(VARBINARY)	BOOLEAN	Aggregate	VARBINARY	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BIGINT,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(BOOLEAN,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATE,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DATETIME,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL128,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL256,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL32,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DECIMAL64,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,DECIMAL32)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,DECIMAL64)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,DOUBLE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,FLOAT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,INT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,LARGEINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,SMALLINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,TINYINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(DOUBLE,VARCHAR)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(FLOAT,BIGINT)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(FLOAT,BOOLEAN)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(FLOAT,DATE)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(FLOAT,DATETIME)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(FLOAT,DECIMAL128)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
min_by_state(FLOAT,DECIMAL256)	VARBINARY	Scalar	NULL	{"fid":"0","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
